X,Y,FID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8368439.6034386,4878091.41265284,1,Bus,18,Eastbound,15424,Roumfort Rd & Cheltenham Av - FS,40.083553,-75.174972,Spring 2025,17,0,6,1,3,0
-8368556.8228624,4877932.67837442,2,Bus,18,Eastbound,15428,Roumfort Rd & Pickering Av,40.082462,-75.176025,Spring 2025,36,2,20,8,16,4
-8368718.12480456,4877723.46146057,3,Bus,18,Eastbound,15431,Roumfort Rd & Michener Av,40.081024,-75.177474,Spring 2025,54,31,19,21,18,10
-8368525.430766,4877547.42005374,4,Bus,18,Eastbound,15432,Michener Av & Gowen Av,40.079814,-75.175743,Spring 2025,34,8,13,4,8,5
-8368189.91382075,4877294.4205685,5,Bus,18,Eastbound,15451,Michener Av & Mt Airy Av,40.078075,-75.172729,Spring 2025,25,5,15,2,8,0
-8367936.77329869,4877102.96579343,6,Bus,18,Eastbound,15453,Michener Av & Mt Pleasant Av,40.076759,-75.170455,Spring 2025,23,7,9,6,9,3
-8368090.50551547,4876881.54626783,7,Bus,18,Eastbound,15456,Mt Pleasant Av & Williams Av,40.075237,-75.171836,Spring 2025,41,8,8,12,16,4
-8368218.74556886,4876658.38599758,8,Bus,18,Eastbound,15457,Thouron Av & Mt Pleasant Av - FS,40.073703,-75.172988,Spring 2025,66,9,20,5,12,3
-8368090.50551547,4876564.11902328,9,Bus,18,Eastbound,15459,Thouron Av & Sedgwick St,40.073055,-75.171836,Spring 2025,43,12,5,0,3,1
-8367786.49198611,4876333.83788715,10,Bus,18,Eastbound,15461,Thouron Av & Vernon Rd,40.071472,-75.169105,Spring 2025,50,18,28,11,24,13
-8367531.68167169,4876145.16554417,11,Bus,18,Eastbound,15479,Thouron Av & Phil Ellena St,40.070175,-75.166816,Spring 2025,53,16,34,11,18,5
-8367377.9494549,4876029.08365192,12,Bus,18,Eastbound,15481,Thouron Av & Sharpnack St,40.069377,-75.165435,Spring 2025,24,13,12,7,11,6
-8367255.72065401,4875930.8951431,13,Bus,18,Eastbound,15483,Thouron Av & Upsal St,40.068702,-75.164337,Spring 2025,55,29,30,14,30,8
-8367406.00196658,4875759.97672653,14,Bus,18,Eastbound,15484,Upsal St & Woolston Av,40.067527,-75.165687,Spring 2025,75,20,36,13,25,11
-8367676.95360717,4875431.53071808,15,Bus,18,Eastbound,15488,Upsal St & Lowber Av,40.065269,-75.168121,Spring 2025,39,10,24,5,6,5
-8367975.84643995,4875060.91472586,16,Bus,18,Eastbound,15490,Upsal St & Stenton Av,40.062721,-75.170806,Spring 2025,31,64,22,26,15,13
-8368504.16874326,4875399.96672821,17,Bus,18,Eastbound,15506,Vernon Rd & Stenton Av - FS,40.065052,-75.175552,Spring 2025,64,15,34,14,31,10
-8368585.65461052,4875232.2574453,18,Bus,18,Eastbound,15509,Vernon Rd & Crittenden St,40.063899,-75.176284,Spring 2025,27,7,14,4,14,2
-8368702.87403432,4875000.40730866,19,Bus,18,Eastbound,15510,Vernon Rd & Anderson St,40.062305,-75.177337,Spring 2025,4,0,4,3,5,0
-8368736.04724258,4874809.57864359,20,Bus,18,Eastbound,15514,Vernon Rd & Ardleigh St,40.060993,-75.177635,Spring 2025,11,2,10,0,3,2
-8368791.26171001,4874654.2421689,21,Bus,18,Eastbound,15515,Vernon Rd & Blakemore St,40.059925,-75.178131,Spring 2025,35,38,16,11,15,10
-8368835.34422837,4874476.65541812,22,Bus,18,Eastbound,15516,Sprague St & Phil Ellena St,40.058704,-75.178527,Spring 2025,42,19,37,11,20,4
