service_id,date,exception_type
33610,20251117,1
34010,20251117,1
65110,20251117,1
336110,20251117,1
341510,20251117,1
33610,20251118,1
34010,20251118,1
65110,20251118,1
336010,20251118,1
341610,20251118,1
33710,20251119,1
34010,20251119,1
65010,20251119,1
336010,20251119,1
341510,20251119,1
33610,20251120,1
34010,20251120,1
65110,20251120,1
336010,20251120,1
341510,20251120,1
33610,20251121,1
34110,20251121,1
65010,20251121,1
336010,20251121,1
341510,20251121,1
33610,20251124,1
34010,20251124,1
65110,20251124,1
336110,20251124,1
341510,20251124,1
33610,20251125,1
34010,20251125,1
65110,20251125,1
336010,20251125,1
341610,20251125,1
33710,20251126,1
34010,20251126,1
65010,20251126,1
336010,20251126,1
341510,20251126,1
13,20251127,1
10,20251127,2
34111,20251128,1
336011,20251128,1
11,20251128,1
10,20251128,2
33610,20251201,1
34010,20251201,1
65110,20251201,1
336110,20251201,1
341510,20251201,1
33610,20251202,1
34010,20251202,1
65110,20251202,1
336010,20251202,1
341610,20251202,1
33710,20251203,1
34010,20251203,1
65010,20251203,1
336010,20251203,1
341510,20251203,1
33610,20251204,1
34010,20251204,1
65110,20251204,1
336010,20251204,1
341510,20251204,1
33610,20251205,1
34110,20251205,1
65010,20251205,1
336010,20251205,1
341510,20251205,1
33610,20251208,1
34010,20251208,1
65110,20251208,1
336110,20251208,1
341510,20251208,1
33610,20251209,1
34010,20251209,1
65110,20251209,1
336010,20251209,1
341610,20251209,1
33710,20251210,1
34010,20251210,1
65010,20251210,1
336010,20251210,1
341510,20251210,1
33610,20251211,1
34010,20251211,1
65110,20251211,1
336010,20251211,1
341510,20251211,1
33610,20251212,1
34110,20251212,1
65010,20251212,1
336010,20251212,1
341510,20251212,1
33610,20251215,1
34010,20251215,1
65110,20251215,1
336110,20251215,1
341510,20251215,1
33610,20251216,1
34010,20251216,1
65110,20251216,1
336010,20251216,1
341610,20251216,1
33710,20251217,1
34010,20251217,1
65010,20251217,1
336010,20251217,1
341510,20251217,1
33610,20251218,1
34010,20251218,1
65110,20251218,1
336010,20251218,1
341510,20251218,1
33610,20251219,1
34110,20251219,1
65010,20251219,1
336010,20251219,1
341510,20251219,1
33610,20251222,1
34010,20251222,1
65110,20251222,1
336110,20251222,1
341510,20251222,1
33610,20251223,1
34010,20251223,1
65110,20251223,1
336010,20251223,1
341610,20251223,1
34011,20251224,1
336011,20251224,1
11,20251224,1
10,20251224,2
13,20251225,1
10,20251225,2
34111,20251226,1
336011,20251226,1
11,20251226,1
10,20251226,2
34011,20251229,1
336111,20251229,1
11,20251229,1
10,20251229,2
34011,20251230,1
336011,20251230,1
11,20251230,1
10,20251230,2
34011,20251231,1
336011,20251231,1
11,20251231,1
10,20251231,2
13,20260101,1
10,20260101,2
34111,20260102,1
336011,20260102,1
11,20260102,1
10,20260102,2
33610,20260105,1
34010,20260105,1
65110,20260105,1
336110,20260105,1
341510,20260105,1
33610,20260106,1
34010,20260106,1
65110,20260106,1
336010,20260106,1
341610,20260106,1
33710,20260107,1
34010,20260107,1
65010,20260107,1
336010,20260107,1
341510,20260107,1
33610,20260108,1
34010,20260108,1
65110,20260108,1
336010,20260108,1
